EB_T (K),EB_((m0-m)/(m0-mf))
467.2883333,0.09814288
467.46,0.098192103
467.6313333,0.098239704
467.7996667,0.098288386
467.972,0.098337068
468.1376667,0.098384669
468.3076667,0.098431728
468.4756667,0.098478788
468.6406667,0.098524765
468.8126667,0.098572907
468.977,0.098619425
469.1483333,0.098666485
469.316,0.098713004
469.4883333,0.098760063
469.6566667,0.098809286
469.8263333,0.098860673
469.9973333,0.098910978
470.1633333,0.098960201
470.3306667,0.099011588
470.5023333,0.099060811
470.6663333,0.099109493
470.8396667,0.09915493
471.0153333,0.099198203
471.1783333,0.099246345
471.3456667,0.099294486
471.5153333,0.099343168
471.684,0.099398341
471.852,0.09945081
472.02,0.099502738
472.1936667,0.099554125
472.363,0.099608216
472.534,0.099661226
472.7006667,0.09971694
472.8716667,0.099774277
473.0346667,0.099830532
473.207,0.099884082
473.374,0.099934387
473.544,0.099986856
473.7173333,0.100037702
473.8853333,0.10009017
474.0533333,0.10014318
474.228,0.100195649
474.3903333,0.100250822
474.5586667,0.100306536
474.7293333,0.100361709
474.9,0.100417423
475.072,0.100476383
475.2416667,0.10053372
475.4116667,0.100588352
475.5806667,0.100642443
475.75,0.100699239
475.9126667,0.100753872
476.087,0.100809586
476.2553333,0.100866382
476.426,0.100923178
476.595,0.100981056
476.766,0.101039474
476.931,0.10109627
477.1033333,0.101152525
477.268,0.10120878
477.439,0.101266658
477.609,0.101326159
477.777,0.101385118
477.9473333,0.101446242
478.112,0.101508447
478.2876667,0.101572274
478.4553333,0.101639348
478.6243333,0.101704257
478.7953333,0.101768085
478.9616667,0.101831372
479.1406667,0.101894118
479.3073333,0.101957405
479.472,0.10201961
479.645,0.102081274
479.8186667,0.102142939
479.978,0.102205685
480.1466667,0.102268972
480.3233333,0.102331718
480.4883333,0.102395545
480.657,0.102459914
480.8256667,0.102523742
480.999,0.10258757
481.1636667,0.102651939
481.333,0.10271793
481.499,0.102786085
481.6756667,0.1028537
481.846,0.102921314
482.0176667,0.102992714
482.1883333,0.103060329
482.3526667,0.103128484
482.5256667,0.10319718
482.6893333,0.103264794
482.859,0.103335113
483.0236667,0.10340435
483.197,0.103473587
483.3713333,0.103546069
483.5376667,0.103616929
483.704,0.10368833
483.877,0.103760812
484.0426667,0.103833295
484.2136667,0.103905777
484.3846667,0.103979341
484.5553333,0.104052906
484.7263333,0.10412647
484.896,0.104199493
485.064,0.10427414
485.233,0.104349327
485.4036667,0.104425595
485.5743333,0.104502946
485.7436667,0.104580297
485.914,0.104657647
486.0823333,0.104735539
486.2483333,0.104812349
486.4236667,0.104888618
486.59,0.104964887
486.7603333,0.105040615
486.9313333,0.105118506
487.101,0.10519748
487.2723333,0.105277535
487.433,0.105360836
487.5976667,0.105442514
487.7683333,0.105523651
487.942,0.105603706
488.1106667,0.105683761
488.2833333,0.105764357
488.452,0.105846035
488.6203333,0.105928254
488.7923333,0.106010473
488.9546667,0.106093774
489.134,0.106177075
489.3033333,0.106260916
489.4726667,0.106346922
489.64,0.106434009
489.8103333,0.106522719
489.9773333,0.106611429
490.145,0.106700679
490.3226667,0.106790471
490.4963333,0.106880263
490.6633333,0.106970595
490.8263333,0.107059846
490.9996667,0.107148015
491.1693333,0.107237807
491.3383333,0.107325976
491.503,0.107416849
491.6733333,0.107507723
491.8396667,0.107598596
492.0143333,0.107690552
492.1856667,0.10778413
492.3533333,0.107876085
492.529,0.107969122
492.6896667,0.108062701
492.8636667,0.108155197
493.032,0.10825148
493.2,0.108347221
493.3726667,0.108444045
493.543,0.108541409
493.715,0.108639315
493.876,0.108736138
494.047,0.108834585
494.2203333,0.108934654
494.385,0.109034723
494.5553333,0.109136415
494.7263333,0.109238107
494.8936667,0.10934088
495.061,0.109442572
495.2356667,0.109544805
495.408,0.109647037
495.5753333,0.10974927
495.7483333,0.109853126
495.914,0.109957522
496.0826667,0.110061918
496.252,0.110166315
496.421,0.110273957
496.593,0.110382139
496.7613333,0.110490322
496.929,0.110599587
497.1053333,0.110709933
497.2723333,0.110821362
497.441,0.110933872
497.6083333,0.111046923
497.7786667,0.111159433
497.9506667,0.111271943
498.123,0.111384453
498.2873333,0.111494799
498.4556667,0.111605146
498.6233333,0.111717115
498.796,0.111830707
498.964,0.111945381
499.1346667,0.112062218
499.3083333,0.112179055
499.4713333,0.112295893
499.6433333,0.112414353
499.8163333,0.1125366
499.981,0.112657764
500.1516667,0.112778929
500.3223333,0.112901716
500.494,0.113025586
500.6603333,0.113150537
500.8313333,0.113274947
501.001,0.113401521
501.1723333,0.113529718
501.3413333,0.113657373
501.5153333,0.113784488
501.6816667,0.113912144
501.8483333,0.114039258
502.021,0.114165832
502.1913333,0.114291865
502.3536667,0.114419521
502.5216667,0.114548799
502.695,0.114680241
502.87,0.114813306
503.0426667,0.114947453
503.2086667,0.115085927
503.3793333,0.115221696
503.5453333,0.115358547
503.72,0.115495399
503.892,0.115633332
504.0563333,0.115772347
504.2283333,0.115911362
504.3963333,0.116049835
504.5586667,0.116191014
504.732,0.11633057
504.9063333,0.116470126
505.072,0.116610763
505.2466667,0.116753564
505.4153333,0.116898529
505.5843333,0.117045117
505.757,0.117193328
505.9263333,0.117346406
506.0926667,0.117498403
506.2596667,0.1176504
506.4213333,0.117801856
506.5916667,0.117954934
506.765,0.118107472
506.9333333,0.118261092
507.1036667,0.11841417
507.2786667,0.11856779
507.4466667,0.118723032
507.613,0.118879897
507.782,0.119036762
507.958,0.119197414
508.124,0.119358065
508.2913333,0.119519798
508.4623333,0.119682072
508.632,0.119845969
508.798,0.120010407
508.971,0.120175386
509.142,0.120339283
509.3093333,0.120504262
509.484,0.120668699
509.6486667,0.120835842
509.8216667,0.121004066
509.9893333,0.121172831
510.1606667,0.121344842
510.3306667,0.121515771
510.501,0.12168724
510.669,0.121860333
510.8363333,0.122037212
511.0046667,0.12221409
511.1756667,0.12239151
511.345,0.122569471
511.5193333,0.122750677
511.6846667,0.122930261
511.852,0.123109844
512.0226667,0.123288886
512.191,0.123469552
512.3633333,0.123650217
512.5346667,0.123834669
512.702,0.124020202
512.8706667,0.124210604
513.041,0.124400465
513.2123333,0.124590866
513.3803333,0.124782891
513.5523333,0.124979783
513.7203333,0.125175053
513.8893333,0.125371405
514.0626667,0.12556992
514.225,0.125771681
514.3976667,0.125971819
514.5663333,0.126172499
514.742,0.126373719
514.9103333,0.12657602
515.076,0.126777781
515.2513333,0.126979542
515.4156667,0.127182385
515.582,0.127387391
515.7566667,0.12759402
515.9256667,0.127802272
516.098,0.128012688
516.2633333,0.128229594
516.4373333,0.128444337
516.5993333,0.12865908
516.7703333,0.128873823
516.9456667,0.129092893
517.114,0.129311422
517.2846667,0.129530492
517.4533333,0.129750644
517.623,0.129972419
517.7933333,0.130196898
517.968,0.130421918
518.1346667,0.130646938
518.3043333,0.130874122
518.472,0.131101306
518.6376667,0.131326867
518.815,0.13155351
518.984,0.131780694
519.1516667,0.132012205
519.3186667,0.132244798
519.4856667,0.132479014
519.653,0.132717557
519.8346667,0.132957723
520.0003333,0.133197888
520.171,0.133438054
520.3406667,0.133678761
520.5063333,0.133922172
520.6776667,0.134166665
520.8493333,0.134412781
521.018,0.134659438
521.1886667,0.134911504
521.3586667,0.135163029
521.5266667,0.135414013
521.69,0.135667161
521.865,0.135924636
